ID;Name;Sex;Age;Country;Sport;Games_Type;Year;Has_Medal;Height_cm;Weight_kg
ATH-00594;Tatiana Ionescu;Female;25;Venezuela;Diving;Summer;2016;0;171.8;50.4
ATH-00595;Elnur Hasanov;Male;22;South Africa;Ski Jumping;Winter;1960;0;165.0;58.1
ATH-00596;Wei Dibaba;Male;28;Mexico;Judo;Summer;2024;0;183.5;99.5
ATH-00597;Radek Esposito;Male;18;Mexico;Cross-Country Skiing;Winter;1948;0;193.4;85.1
ATH-00598;Patrick Johnson;Male;33;Finland;Football (Soccer);Summer;2012;0;171.9;83.2
ATH-00599;Nisha Lopez;Female;39;Denmark;Short Track Speed Skating;Winter;1984;0;181.7;61.4
ATH-00600;Marta Orlov;Female;39;Japan;Bobsled;Winter;1960;1;197.1;118.0
ATH-00601;Oksana Kiros;Female;38;Sweden;Swimming;Summer;1912;0;196.3;74.7
ATH-00602;Krzysztof Choi;Male;38;Portugal;Rowing;Summer;1912;0;201.8;66.5
ATH-00603;Erik Chen;Male;33;South Africa;Gymnastics (Artistic);Summer;2008;0;173.5;65.7
ATH-00604;Usain Gantulga;Male;34;Hungary;Shooting;Summer;1896;1;167.7;68.9
ATH-00605;Tamar Mwangi;Female;34;Argentina;Taekwondo;Summer;2008;0;193.9;64.0
ATH-00606;Gunel Li;Female;39;Austria;Rowing;Summer;1912;0;190.2;100.6
ATH-00607;Meseret Wanjiku;Female;23;Greece;Alpine Skiing;Winter;1984;0;175.1;68.9
ATH-00608;Kimberly Makarov;Female;32;Nigeria;Rowing;Summer;2004;0;176.9;67.0
ATH-00609;Mei Kumar;Female;25;Netherlands;Ice Hockey;Winter;2018;0;181.9;90.4
ATH-00610;Oleksandr Singh;Male;35;Australia;Diving;Summer;1896;0;155.4;74.6
ATH-00611;Isabelle Bekele;Female;31;Iran;Ice Hockey;Winter;1956;0;184.1;83.1
ATH-00612;Luca Brown;Male;30;Mongolia;Skeleton;Winter;1968;0;192.3;77.9
ATH-00613;Anthony Munkhbat;Male;20;Australia;Fencing;Summer;1912;0;192.2;75.9
ATH-00614;Svetlana Enkhtaivan;Female;34;Germany;Biathlon;Winter;1948;0;193.7;66.7
ATH-00615;Sabina Clark;Female;27;Australia;Wrestling;Summer;2024;1;190.2;64.1
ATH-00616;Asha Williams;Female;24;Pakistan;Freestyle Skiing;Winter;1948;0;186.7;74.7
ATH-00617;Carina Gheorghe;Female;21;Portugal;Speed Skating;Winter;1994;0;163.3;73.4
ATH-00618;Claire Biles;Female;16;France;Tennis;Summer;1906;1;185.9;92.1
ATH-00619;Ekaterina Munkhbat;Female;32;India;Fencing;Summer;1912;1;172.1;65.5
ATH-00620;Anahit Shevchenko;Female;21;Venezuela;Biathlon;Winter;2002;0;178.2;58.0
ATH-00621;Giulia Sargsyan;Female;39;India;Luge;Winter;2014;0;172.4;79.9
ATH-00622;Simona Kowalczyk;Female;30;Hungary;Triathlon;Summer;2012;0;168.7;78.4
ATH-00623;Luca Kumar;Male;20;Thailand;Luge;Winter;1956;0;172.3;62.0
ATH-00624;Mariam Kovalenko;Female;27;Greece;Triathlon;Summer;1896;0;183.2;68.2
ATH-00625;Sota Zhao;Male;37;Sweden;Boxing;Summer;1896;1;168.5;84.9
ATH-00626;Gunel Suzuki;Female;33;Egypt;Swimming;Summer;1912;1;173.4;85.5
ATH-00627;Florent Hakobyan;Male;28;New Zealand;Gymnastics (Artistic);Summer;1908;0;161.3;69.3
ATH-00628;Pedro Kovalev;Male;35;Germany;Wrestling;Summer;1904;0;190.5;130.5
ATH-00629;Gunel Rossi;Female;20;Great Britain;Football (Soccer);Summer;1908;0;194.3;67.8
ATH-00630;Tamar Suzuki;Female;16;Singapore;Speed Skating;Winter;1976;0;169.6;83.9
ATH-00631;Mohammed Ivanov;Male;30;Great Britain;Curling;Winter;1964;0;186.0;90.2
ATH-00632;Kenji Patel;Male;24;Egypt;Biathlon;Winter;1972;1;181.4;74.1
ATH-00633;Giulia Anderson;Female;22;Venezuela;Biathlon;Winter;1992;0;163.9;77.0
ATH-00634;Regzedmaa Johnson;Male;24;Netherlands;Football (Soccer);Summer;1904;0;169.4;65.2
ATH-00635;Quentin Gantulga;Male;42;Poland;Luge;Winter;1932;1;190.4;86.1
ATH-00636;Romain Perez;Male;24;South Africa;Football (Soccer);Summer;1912;0;184.4;89.1
ATH-00637;Sota Nikitin;Male;39;Switzerland;Speed Skating;Winter;1976;1;172.7;61.4
ATH-00638;Barbara Meyer;Female;28;Georgia;Figure Skating;Winter;2014;0;177.6;48.5
ATH-00639;Nigar Ionescu;Female;15;Egypt;Alpine Skiing;Winter;1948;0;183.0;64.6
ATH-00640;Sandra Ito;Female;28;Bulgaria;Skeleton;Winter;2018;0;191.4;91.8
ATH-00641;Anna Anderson;Female;18;Germany;Curling;Winter;1984;1;185.2;95.7
ATH-00642;Giulia Taylor;Female;34;Belgium;Ski Jumping;Winter;1924;0;176.4;51.0
ATH-00643;Ramil Nozadze;Male;33;Nigeria;Curling;Winter;2018;0;180.4;94.0
ATH-00644;Hasmik Phelps;Female;41;Canada;Ice Hockey;Winter;1924;0;181.2;90.0
ATH-00645;Rui Wanjiku;Male;20;Spain;Judo;Summer;1908;1;168.2;72.0
ATH-00646;Olga Garcia;Female;34;Austria;Archery;Summer;1896;0;174.1;92.2
ATH-00647;Yuki Aliyev;Female;37;Mongolia;Basketball;Summer;1996;0;214.3;75.0
ATH-00648;Linda Zhao;Female;34;Venezuela;Alpine Skiing;Winter;1988;0;178.0;79.6
ATH-00649;Ivan Bekele;Male;33;Cuba;Rowing;Summer;1900;0;197.5;81.7
ATH-00650;Olga Njoroge;Female;30;Austria;Alpine Skiing;Winter;1994;1;177.4;73.4
ATH-00651;Min-jun Wilson;Male;34;Jamaica;Ski Jumping;Winter;1984;0;169.2;61.7
ATH-00652;Denys Tanaka;Male;29;New Zealand;Figure Skating;Winter;1998;1;157.1;46.1
ATH-00653;Monika Bekele;Female;40;Finland;Bobsled;Winter;1960;0;170.2;71.6
ATH-00654;Lilit Hasanov;Female;18;Greece;Weightlifting;Summer;2016;0;188.1;60.7
ATH-00655;Meseret Cherono;Female;18;Chinese Taipei;Speed Skating;Winter;1980;0;184.0;63.3
ATH-00656;Bolormaa Schmidt;Female;39;North Korea;Weightlifting;Summer;1996;0;177.7;111.5
ATH-00657;Lilit Ferrari;Female;24;Spain;Archery;Summer;2024;0;185.1;82.8
ATH-00658;Carol Mirzayev;Female;15;France;Archery;Summer;1896;0;189.9;93.9
ATH-00659;Hovhannes Nozadze;Male;30;Egypt;Figure Skating;Winter;1992;1;161.8;50.3
ATH-00660;Gabriela Jones;Female;41;Bulgaria;Tennis;Summer;1912;0;185.8;93.1
ATH-00661;Gabriela Tediashvili;Female;22;Germany;Wrestling;Summer;2016;0;164.6;133.4
ATH-00662;Mohammed Romano;Male;16;North Korea;Weightlifting;Summer;2024;0;190.3;59.9
ATH-00663;Anthony Mammadov;Male;33;South Africa;Bobsled;Winter;1932;0;193.3;79.7
ATH-00664;Karolina Ito;Female;25;Greece;Canoe/Kayak;Summer;2016;0;174.9;87.1
ATH-00665;Karolina Tanaka;Female;20;Brazil;Freestyle Skiing;Winter;1924;0;184.7;61.8
ATH-00666;Dorothy Bianchi;Female;34;South Africa;Fencing;Summer;1912;0;184.0;61.3
ATH-00667;Giulia Gupta;Female;19;Norway;Triathlon;Summer;1906;0;181.0;75.6
ATH-00668;Regzedmaa Ionescu;Male;39;Serbia;Cross-Country Skiing;Winter;2010;1;173.3;81.1
ATH-00669;Matthew Schmidt;Male;20;Poland;Short Track Speed Skating;Winter;1988;0;164.7;81.6
ATH-00670;Haile Wang;Male;38;Denmark;Speed Skating;Winter;1988;0;181.4;78.8
ATH-00671;Svetlana Davis;Female;19;Turkey;Canoe/Kayak;Summer;2000;0;169.4;78.7
ATH-00672;Brian Dibaba;Male;35;New Zealand;Canoe/Kayak;Summer;1908;0;182.8;99.8
ATH-00673;Nino Martinez;Female;38;South Africa;Freestyle Skiing;Winter;1968;0;187.7;76.4
ATH-00674;Anahit Wu;Female;35;India;Luge;Winter;1964;0;189.7;74.9
ATH-00675;Magnus Jung;Male;33;Denmark;Archery;Summer;1912;0;186.0;63.2
ATH-00676;Carlos Hernandez;Male;22;Switzerland;Football (Soccer);Summer;2000;0;187.7;60.8
ATH-00677;Luca Jackson;Male;29;Chinese Taipei;Swimming;Summer;1996;1;199.0;75.3
ATH-00678;Siranush Lopez;Female;28;Kazakhstan;Rowing;Summer;1996;0;178.4;83.3
ATH-00679;Rahul Bianchi;Male;22;Cuba;Cross-Country Skiing;Winter;1976;0;186.3;84.6
ATH-00680;Florent Dinu;Male;39;Hungary;Football (Soccer);Summer;2000;0;189.3;72.6
ATH-00681;David Grigoryan;Male;21;France;Judo;Summer;1912;0;187.0;65.2
ATH-00682;Liang Fraser-Pryce;Male;15;Argentina;Ski Jumping;Winter;1928;0;187.6;68.5
ATH-00683;Kimberly Gonzalez;Female;36;India;Fencing;Summer;1996;0;169.1;63.8
ATH-00684;Alina Kipchoge;Female;22;Ethiopia;Boxing;Summer;2012;0;183.7;70.4
ATH-00685;Naim Moore;Male;38;Brazil;Alpine Skiing;Winter;1984;0;185.6;69.5
ATH-00686;Faith Park;Female;29;Pakistan;Cross-Country Skiing;Winter;1956;0;194.9;61.1
ATH-00687;Enkhjargal Chikovani;Female;23;Armenia;Boxing;Summer;2008;0;196.9;83.7
ATH-00688;Usukhbayar Hakobyan;Male;20;Jamaica;Fencing;Summer;1996;1;180.9;86.2
ATH-00689;Quentin Sato;Male;35;Italy;Volleyball;Summer;1912;0;181.1;103.4
ATH-00690;Jiri Bianchi;Male;15;Bulgaria;Skeleton;Winter;1988;1;167.3;97.0
ATH-00691;Halyna Volkov;Female;22;Greece;Volleyball;Summer;2008;0;199.0;88.4
ATH-00692;Min-jun Dibaba;Male;31;Cuba;Triathlon;Summer;2016;0;189.3;69.6
ATH-00693;Ekaterina Bekele;Female;35;Great Britain;Biathlon;Winter;1964;1;166.3;94.9
ATH-00694;Tigran Thomas;Male;41;Germany;Luge;Winter;1984;0;192.5;61.5
ATH-00695;Dorothy Melnyk;Female;32;Jamaica;Archery;Summer;2004;0;165.3;88.5
ATH-00696;Sunita Anderson;Female;26;Thailand;Speed Skating;Winter;2002;0;184.4;58.9
ATH-00697;Laure Costa;Female;26;South Africa;Ski Jumping;Winter;1924;0;182.2;51.9
ATH-00698;Alina Hasanov;Female;38;Brazil;Freestyle Skiing;Winter;1932;1;174.9;61.5
ATH-00699;Bolormaa Yamamoto;Female;20;Mexico;Cross-Country Skiing;Winter;1972;1;180.2;68.1
ATH-00700;Alina Alves;Female;27;Hungary;Ice Hockey;Winter;1964;0;200.0;88.8
ATH-00701;Erik Jung;Male;29;Netherlands;Swimming;Summer;1996;1;182.9;72.6
ATH-00702;Tamar Tashkentov;Female;27;Turkey;Judo;Summer;2020;0;191.3;96.7
ATH-00703;Anthony Hakobyan;Male;37;South Korea;Alpine Skiing;Winter;2018;1;170.3;93.5
ATH-00704;Simona Harris;Female;26;United States;Weightlifting;Summer;1904;1;177.8;145.0
ATH-00705;Valentina Hasanov;Female;37;Sweden;Football (Soccer);Summer;1920;1;194.4;77.6
ATH-00706;Sota Garcia;Male;31;Italy;Cross-Country Skiing;Winter;2002;0;183.8;71.3
ATH-00707;Donna Oliveira;Female;20;Ethiopia;Figure Skating;Winter;1984;1;161.1;59.0
ATH-00708;Hassan Weber;Male;15;Hong Kong;Biathlon;Winter;1988;1;193.8;77.6
ATH-00709;Min-jun Grigoryan;Male;20;Norway;Speed Skating;Winter;1932;1;168.7;74.3
ATH-00710;Constantin Rodriguez;Male;24;Austria;Gymnastics (Artistic);Summer;2024;0;166.1;74.9
ATH-00711;Luis Schneider;Male;26;Italy;Figure Skating;Winter;1988;1;185.2;77.2
ATH-00712;Zheng Gonzalez;Male;31;Turkey;Boxing;Summer;2020;0;160.8;80.8
ATH-00713;Usain Kipchoge;Male;25;Portugal;Figure Skating;Winter;1932;0;182.4;51.6
ATH-00714;Amine Wilson;Male;16;Cuba;Judo;Summer;2008;0;177.4;57.3
ATH-00715;Emily Kuznetsov;Female;30;Netherlands;Curling;Winter;1952;0;192.7;65.2
ATH-00716;Marco Wanjiku;Male;16;South Africa;Judo;Summer;1920;0;192.8;82.0
ATH-00717;Oleksandr Melnyk;Male;23;Poland;Ski Jumping;Winter;1980;1;164.8;50.7
ATH-00718;Anna Hasanov;Female;24;Romania;Alpine Skiing;Winter;1952;0;178.0;79.9
ATH-00719;Bohdan Adeyemi;Male;20;Hungary;Boxing;Summer;1900;0;174.0;81.1
ATH-00720;Luis Fischer;Male;20;United States;Alpine Skiing;Winter;1928;0;188.6;80.2
ATH-00721;Mykola Schmidt;Male;34;Belgium;Bobsled;Winter;1924;1;182.3;96.7
ATH-00722;James Yadav;Male;15;France;Gymnastics (Artistic);Summer;1904;0;164.1;40.7
ATH-00723;Faith Kwon;Female;36;Venezuela;Figure Skating;Winter;1968;0;172.7;57.6
ATH-00724;Anahit Davis;Female;28;Japan;Canoe/Kayak;Summer;2024;0;192.4;74.1
ATH-00725;Priya Santos;Female;25;Ethiopia;Bobsled;Winter;1988;0;187.1;117.4
ATH-00726;Natalya Mwangi;Female;19;Egypt;Ski Jumping;Winter;1976;0;171.4;69.4
ATH-00727;Josef Enkhtaivan;Male;39;Brazil;Shooting;Summer;1920;0;175.5;89.7
ATH-00728;Andrew Davis;Male;15;Australia;Gymnastics (Artistic);Summer;2008;0;155.8;42.3
ATH-00729;Gunther Romano;Male;18;Chinese Taipei;Skeleton;Winter;1972;1;179.6;81.1
ATH-00730;Tomasz Anderson;Male;19;Kenya;Basketball;Summer;2024;0;195.7;96.8
ATH-00731;Karen Ito;Female;19;France;Cross-Country Skiing;Winter;1972;0;193.8;65.6
ATH-00732;Sakura Amiranashvili;Female;23;Brazil;Ski Jumping;Winter;1952;0;180.5;54.3
ATH-00733;Camelia Moore;Female;19;France;Curling;Winter;2014;0;176.4;66.4
ATH-00734;Kimberly Costa;Female;38;Jamaica;Short Track Speed Skating;Winter;1984;0;179.7;79.4
ATH-00735;Karen Zhao;Female;33;Italy;Diving;Summer;1900;0;157.1;66.6
ATH-00736;Ondrej Chen;Male;21;Italy;Boxing;Summer;2004;1;164.0;78.8
ATH-00737;Haile Rossi;Male;38;Argentina;Tennis;Summer;2012;0;199.0;65.5
ATH-00738;Yuki Ivanov;Male;42;Colombia;Rowing;Summer;2012;1;194.2;73.7
ATH-00739;Charles Garcia;Male;30;Italy;Canoe/Kayak;Summer;1908;0;163.4;89.8
ATH-00740;Faith Patel;Female;38;Russia;Weightlifting;Summer;2004;0;164.1;71.2
ATH-00741;Michelle Liu;Female;38;India;Ice Hockey;Winter;1988;0;182.0;72.5
ATH-00742;Antoine Dinu;Male;19;France;Judo;Summer;1906;1;168.3;57.9
ATH-00743;Dorothy Martinez;Female;25;Germany;Freestyle Skiing;Winter;2014;0;174.7;88.5
ATH-00744;Hassan Robert;Male;25;Italy;Luge;Winter;2006;0;174.1;68.3
ATH-00745;Oksana Sanchez;Female;37;Nigeria;Skeleton;Winter;1964;0;179.9;100.1
ATH-00746;Dafne Makarov;Female;38;Colombia;Alpine Skiing;Winter;1932;0;185.9;62.4
ATH-00747;Christine Melnyk;Female;25;Hungary;Skeleton;Winter;1998;0;185.1;68.8
ATH-00748;Klaus Meyer;Male;21;Georgia;Luge;Winter;2018;1;186.3;99.7
ATH-00749;Elena Sokolov;Female;37;Cuba;Alpine Skiing;Winter;1936;1;164.4;73.1
ATH-00750;Mariam Gonzalez;Female;27;Soviet Union;Figure Skating;Winter;1998;0;180.0;46.4
ATH-00751;Patrick Kipchoge;Male;31;France;Freestyle Skiing;Winter;1932;1;172.4;81.3
ATH-00752;Oleksandr Kim;Male;29;Hungary;Ice Hockey;Winter;2018;1;184.4;73.6
ATH-00753;Bolormaa Kamau;Female;15;Bulgaria;Short Track Speed Skating;Winter;1972;0;163.4;53.1
ATH-00754;Natalya Wu;Female;32;Japan;Speed Skating;Winter;1994;0;175.4;88.9
ATH-00755;Linda Kaminski;Female;34;Poland;Rowing;Summer;2008;0;186.6;69.3
ATH-00756;Priya Gheorghe;Female;16;Ukraine;Shooting;Summer;2024;0;160.4;88.2
ATH-00757;Ramil Kravchenko;Male;30;Greece;Alpine Skiing;Winter;1988;0;186.0;84.8
ATH-00758;Anthony White;Male;26;North Korea;Bobsled;Winter;1980;0;189.6;84.9
ATH-00759;Gagik Shevchenko;Male;20;Italy;Curling;Winter;1956;0;186.1;84.2
ATH-00760;Ayana Rusu;Female;28;Germany;Figure Skating;Winter;1924;0;161.7;54.4
ATH-00761;Simona Kravchenko;Female;40;Germany;Bobsled;Winter;1924;0;186.3;88.7
ATH-00762;Tirunesh Watanabe;Female;33;South Africa;Alpine Skiing;Winter;2022;0;174.0;98.5
ATH-00763;Bolormaa Mammadov;Female;42;Mexico;Cross-Country Skiing;Winter;2010;0;183.2;79.6
ATH-00764;Yohan Huseynov;Male;16;New Zealand;Ice Hockey;Winter;1932;0;190.5;101.9
ATH-00765;Olga Tashkentov;Female;26;Egypt;Ice Hockey;Winter;1994;1;191.5;105.9
ATH-00766;Irina Njoroge;Female;24;Singapore;Weightlifting;Summer;2012;0;166.8;74.7
ATH-00767;Salome Njoroge;Female;15;Turkey;Bobsled;Winter;1936;0;188.6;116.0
ATH-00768;Linda Weber;Female;37;Cuba;Gymnastics (Artistic);Summer;1996;0;179.8;53.3
ATH-00769;Erik Biles;Male;29;France;Canoe/Kayak;Summer;2000;0;182.3;88.2
ATH-00770;Ilham Hakobyan;Male;29;Chinese Taipei;Football (Soccer);Summer;2004;0;181.7;80.9
ATH-00771;Meseret Bekele;Female;36;New Zealand;Gymnastics (Artistic);Summer;1908;1;172.2;68.2
ATH-00772;Tatiana Kowalczyk;Female;40;Netherlands;Judo;Summer;1906;1;176.4;89.3
ATH-00773;Hans Wiśniewski;Male;32;Bulgaria;Boxing;Summer;1920;1;176.8;58.5
ATH-00774;Vikram Huseynov;Male;26;Finland;Wrestling;Summer;2004;1;178.7;73.6
ATH-00775;Paul Nozadze;Male;36;Great Britain;Athletics;Summer;1912;1;197.0;65.4
ATH-00776;George Li;Male;42;South Africa;Figure Skating;Winter;1998;0;182.7;57.7
ATH-00777;Linda Volkov;Female;36;Cuba;Gymnastics (Artistic);Summer;2020;0;178.2;57.8
ATH-00778;Karolina Clark;Female;28;Turkey;Diving;Summer;2004;1;163.3;57.0
ATH-00779;Nisha Karimov;Female;37;Argentina;Alpine Skiing;Winter;1968;0;181.7;99.0
ATH-00780;Iryna Amiranashvili;Female;22;Romania;Triathlon;Summer;2024;0;179.6;66.1
ATH-00781;Sakura Shah;Female;37;Venezuela;Football (Soccer);Summer;2016;1;183.4;66.2
ATH-00782;Alexandra Bernard;Female;33;South Korea;Freestyle Skiing;Winter;1976;1;184.4;89.4
ATH-00783;Agnieszka Davaadorj;Female;28;Ukraine;Curling;Winter;1998;0;176.6;69.8
ATH-00784;Dorothy Babayev;Female;32;China;Gymnastics (Artistic);Summer;2020;0;147.1;43.9
ATH-00785;Camelia Alves;Female;41;Hungary;Diving;Summer;1906;0;161.1;67.7
ATH-00786;Anthony Schneider;Male;42;Argentina;Triathlon;Summer;2016;0;166.4;61.4
ATH-00787;Denys Phelps;Male;28;Netherlands;Bobsled;Winter;1956;1;186.2;83.6
ATH-00788;Monika Adeyemi;Female;41;Soviet Union;Biathlon;Winter;1972;0;169.6;69.6
ATH-00789;Vikram Davis;Male;27;Denmark;Skeleton;Winter;1924;0;165.7;71.5
ATH-00790;Denys Taylor;Male;27;Hungary;Volleyball;Summer;1904;1;172.0;68.2
ATH-00791;Julien Rodriguez;Male;20;Finland;Luge;Winter;1964;0;177.1;75.8
ATH-00792;Yuna Aliyev;Female;18;France;Weightlifting;Summer;1900;0;186.5;85.9
ATH-00793;Donna Sato;Female;16;Germany;Short Track Speed Skating;Winter;1994;0;164.6;57.3
ATH-00794;Franz Constantin;Male;31;Australia;Weightlifting;Summer;1920;0;169.2;112.5
ATH-00795;Kimberly Taylor;Female;21;Belgium;Ski Jumping;Winter;1952;0;170.5;48.6
ATH-00796;Sun Romano;Male;27;Chinese Taipei;Basketball;Summer;1996;0;191.0;97.9
ATH-00797;Gunther Kumar;Male;16;South Africa;Diving;Summer;1904;0;165.6;64.4
ATH-00798;Walter Hakobyan;Male;20;Norway;Weightlifting;Summer;1912;0;175.4;114.9
ATH-00799;Anna Gupta;Female;16;Thailand;Curling;Winter;1976;0;186.9;87.7
ATH-00800;Naira Martin;Female;19;Egypt;Biathlon;Winter;2014;1;164.3;69.2
ATH-00801;Yuki Smith;Female;17;Czech Republic;Luge;Winter;1998;0;190.5;65.0
ATH-00802;Tamar Perez;Female;31;Romania;Speed Skating;Winter;1992;0;170.2;58.8
ATH-00803;Dorothy Yang;Female;32;Spain;Ice Hockey;Winter;1928;0;190.9;91.2
ATH-00804;Natsuki Bondarenko;Male;36;Hungary;Fencing;Summer;1900;0;167.5;73.9
ATH-00805;Romain Kowalski;Male;42;Greece;Freestyle Skiing;Winter;1992;0;169.8;68.2
ATH-00806;Karolina Johnson;Female;40;India;Athletics;Summer;1904;0;170.3;109.1
ATH-00807;William Sato;Male;24;Czech Republic;Cross-Country Skiing;Winter;2014;0;188.3;84.6
ATH-00808;Donna Garcia;Female;29;Nigeria;Weightlifting;Summer;2020;1;164.0;82.0
ATH-00809;Maria Wanjiku;Female;28;Spain;Skeleton;Winter;1988;0;184.1;61.7
ATH-00810;Franz Silva;Male;37;Japan;Bobsled;Winter;1948;0;191.9;85.1
ATH-00811;Alejandro Garcia;Male;16;Jamaica;Speed Skating;Winter;1952;0;184.1;72.7
ATH-00812;James Sato;Male;23;Cuba;Luge;Winter;2014;0;170.2;83.4
ATH-00813;Alina Kumar;Female;25;Spain;Athletics;Summer;2008;0;178.3;91.2
ATH-00814;Kiran Kovalev;Male;32;Austria;Tennis;Summer;1920;1;185.8;86.7
ATH-00815;Vikram Dupont;Male;24;Cuba;Archery;Summer;2024;0;178.5;56.6
ATH-00816;Jennifer Sargsyan;Female;42;Azerbaijan;Triathlon;Summer;2000;0;184.2;62.8
ATH-00817;John Kiros;Male;17;South Africa;Biathlon;Winter;1952;0;168.4;68.8
ATH-00818;Valentina Mammadov;Female;37;France;Volleyball;Summer;1912;1;172.6;95.8
ATH-00819;Agnieszka Cherono;Female;30;Italy;Bobsled;Winter;1972;0;181.6;79.5
ATH-00820;Mei Tediashvili;Female;41;Australia;Weightlifting;Summer;1904;0;186.7;96.1
ATH-00821;Halyna Martinez;Female;38;Belgium;Volleyball;Summer;1906;0;178.0;66.7
ATH-00822;Siranush Johnson;Female;25;Bulgaria;Speed Skating;Winter;2010;0;167.3;76.3
ATH-00823;Maria Taylor;Female;42;Cuba;Alpine Skiing;Winter;1960;0;190.0;71.2
ATH-00824;Tirunesh Davis;Female;15;Denmark;Weightlifting;Summer;1996;0;159.5;147.6
ATH-00825;Nikolai Jackson;Male;23;Georgia;Shooting;Summer;2004;0;189.5;85.1
ATH-00826;Brian Martinez;Male;18;North Korea;Biathlon;Winter;1964;0;180.3;67.8
ATH-00827;Haile Lee;Male;38;Serbia;Boxing;Summer;2008;0;184.3;85.6
ATH-00828;Rahul Park;Male;34;South Korea;Freestyle Skiing;Winter;1998;0;189.2;69.4
ATH-00829;Mary Gebremariam;Female;27;Egypt;Ski Jumping;Winter;1964;0;166.3;49.0
ATH-00830;Vahram Smith;Male;35;Norway;Football (Soccer);Summer;1906;0;169.6;64.3
ATH-00831;Sifan Petrov;Female;42;Ethiopia;Alpine Skiing;Winter;1984;0;188.6;77.5
ATH-00832;Yuki Haile;Female;18;Mexico;Cycling;Summer;2012;0;189.2;70.9
ATH-00833;Alexandra Adeyemi;Female;23;Chinese Taipei;Bobsled;Winter;1956;0;181.5;119.3
ATH-00834;Svetlana Fraser-Pryce;Female;23;Spain;Triathlon;Summer;2012;0;191.8;61.8
ATH-00835;Patrick Davis;Male;25;Argentina;Judo;Summer;2008;0;162.0;63.9
ATH-00836;Betty Yadav;Female;30;Ethiopia;Tennis;Summer;2008;0;182.2;74.7
ATH-00837;Nikolai Haile;Male;42;North Korea;Boxing;Summer;2004;0;164.5;57.2
ATH-00838;Yuki Johnson;Female;25;Cuba;Ski Jumping;Winter;1936;1;174.9;54.6
ATH-00839;Betty Lochte;Female;31;Greece;Shooting;Summer;2016;0;184.9;77.3
ATH-00840;Hiroshi Yamamoto;Male;22;Romania;Swimming;Summer;2008;1;182.2;81.5
ATH-00841;Nigar Kowalski;Female;19;New Zealand;Shooting;Summer;1912;0;177.6;82.4
ATH-00842;Dorothy Wiśniewski;Female;22;Australia;Shooting;Summer;1900;0;165.2;94.9
ATH-00843;Elena Hernandez;Female;23;Armenia;Judo;Summer;2004;1;190.4;54.0
ATH-00844;Ketevan Yuldashev;Female;37;India;Rowing;Summer;2000;1;182.2;67.0
ATH-00845;Camelia Wang;Female;41;Finland;Wrestling;Summer;1908;0;177.2;105.0
ATH-00846;Aurelie Wilson;Female;16;Japan;Alpine Skiing;Winter;1988;0;167.5;89.7
ATH-00847;Sarah Makarov;Female;15;Austria;Skeleton;Winter;1936;0;167.8;84.6
ATH-00848;Patrick Watanabe;Male;41;Turkey;Taekwondo;Summer;1996;0;159.0;76.6
ATH-00849;Fabio Chikovani;Male;23;Bulgaria;Cross-Country Skiing;Winter;2010;0;188.5;71.9
ATH-00850;Jae-won Dinu;Male;16;Great Britain;Figure Skating;Winter;2022;0;180.5;72.3
ATH-00851;Jessica Cherono;Female;42;Great Britain;Football (Soccer);Summer;1900;0;193.8;79.3
ATH-00852;Hassan Garcia;Male;27;New Zealand;Tennis;Summer;1920;0;187.8;84.0
ATH-00853;Michael Schmidt;Male;28;Finland;Fencing;Summer;1920;0;173.1;86.1
ATH-00854;Bolormaa Ferrari;Female;42;Spain;Figure Skating;Winter;1952;0;161.3;75.3
ATH-00855;Maria Amiranashvili;Female;33;Belgium;Fencing;Summer;1920;0;187.1;75.7
ATH-00856;Barbara Ferrari;Female;36;Pakistan;Cycling;Summer;2008;1;190.4;62.7
ATH-00857;Christopher Biles;Male;37;Hungary;Archery;Summer;2016;0;180.4;80.2
ATH-00858;Jiri Clark;Male;17;Hungary;Archery;Summer;1896;0;191.8;89.3
ATH-00859;Almaz Bekele;Female;32;Australia;Swimming;Summer;2004;0;188.0;74.9
ATH-00860;Anjali Costa;Female;19;Romania;Ski Jumping;Winter;1924;0;170.3;53.6
ATH-00861;Rui Makarov;Male;31;Italy;Tennis;Summer;1904;0;165.5;92.4
ATH-00862;Tamar Davis;Female;39;Great Britain;Ski Jumping;Winter;2022;0;180.3;50.8
ATH-00863;Fabio Adeyemi;Male;27;North Korea;Cycling;Summer;2000;0;170.7;60.3
ATH-00864;Rahul Navruzov;Male;18;Belgium;Luge;Winter;1994;0;192.5;92.9
ATH-00865;Sakura Oliveira;Female;24;Turkey;Athletics;Summer;2016;0;173.5;90.5
ATH-00866;Rui Jackson;Male;31;Mongolia;Speed Skating;Winter;1988;0;192.9;84.4
ATH-00867;Salome Esposito;Female;41;Czech Republic;Ski Jumping;Winter;2006;1;182.6;61.9
ATH-00868;Tsend-Ochir Watanabe;Male;21;South Africa;Short Track Speed Skating;Winter;1968;0;173.1;80.1
ATH-00869;Kiran Yohannes;Male;15;India;Basketball;Summer;1920;0;197.3;89.5
ATH-00870;Mykola Robert;Male;41;North Korea;Football (Soccer);Summer;2008;0;164.0;84.1
ATH-00871;Lisa Babayev;Female;27;Argentina;Basketball;Summer;1920;0;191.7;95.6
